100, 5.4, 0.00, 6.58, 0.00
200, 7.76, 0.00, 7.31, 9.70
300, 4.36, 20.10, 7.90, 20.10
400, 3.28, 32.10, 8.01, 32.10
500, 2.91, 41.70, 8.91, 41.70
600, 2.81, 50.30, 9.87, 50.30
700, 1.00, 64.90, 9.28, 64.90
800, 2.72, 68.70, 4.33, 94.70
900, 3.84, 71.60, 5.98, 101.4
1000, 4.59, 118.70, 5.22, 116.4
